,3P,3P%,3PA,AST,BLK,DRB,FG,FG%,FGA,FT,FT%,FTA,MP,ORB,PF,PTS,STL,Season,Player,TOV,TRB,Tm
0,2,0.4,5,7,1,3,7,0.5,14,0,,0,29:21,3,5,16,3,2004 - 2005,Kobe Bryant,4,6,LAL
1,0,0.0,4,5,2,4,4,0.308,13,0,,0,23:53,1,1,8,3,2004 - 2005,Tracy McGrady,3,5,HOU
2,0,,0,5,1,5,5,0.556,9,1,0.5,2,21:17,3,1,11,0,2004 - 2005,Yao Ming,1,8,HOU
3,1,1.0,1,2,0,7,7,0.7,10,0,0.0,1,16:28,2,0,15,0,2004 - 2005,Tim Duncan,2,9,SAS
4,0,,0,2,0,3,5,0.625,8,0,0.0,1,16:21,0,2,10,0,2004 - 2005,Kevin Garnett,2,3,MIN
5,5,0.455,11,1,0,4,6,0.375,16,0,,0,22:22,0,2,17,0,2004 - 2005,Ray Allen,1,4,SEA
6,0,0.0,2,1,1,1,3,0.5,6,2,1.0,2,21:33,2,3,8,1,2004 - 2005,Manu Ginóbili,3,3,SAS
7,1,0.33299999999999996,3,2,4,5,4,0.4,10,1,0.5,2,21:03,3,1,10,4,2004 - 2005,Dirk Nowitzki,3,8,DAL
8,0,,0,2,0,5,3,0.273,11,0,0.0,2,19:52,4,2,6,1,2004 - 2005,Amar'e Stoudemire,1,9,PHO
9,0,0.0,1,6,0,0,1,0.5,2,0,,0,17:48,0,0,2,0,2004 - 2005,Steve Nash,3,0,PHO
10,0,,0,4,0,0,5,0.7140000000000001,7,0,0.0,1,15:54,3,0,10,0,2004 - 2005,Shawn Marion,1,3,PHO
11,0,0.0,2,1,0,3,1,0.14300000000000002,7,0,,0,14:08,1,2,2,1,2004 - 2005,Rashard Lewis,1,4,SEA
12,0,,0,10,0,4,4,0.28600000000000003,14,7,1.0,7,31:50,0,0,15,5,2004 - 2005,Allen Iverson,7,4,PHI
13,1,0.25,4,6,0,7,6,0.462,13,0,0.0,1,31:25,1,0,13,2,2004 - 2005,LeBron James,3,8,CLE
14,0,0.0,1,1,3,6,6,0.545,11,0,0.0,3,25:58,0,2,12,3,2004 - 2005,Shaquille O'Neal,0,6,MIA
15,3,0.6,5,1,0,3,4,0.5,8,0,,0,17:41,0,0,11,0,2004 - 2005,Vince Carter,2,3,NJN
16,0,,0,2,0,2,3,0.5,6,0,,0,17:25,2,1,6,1,2004 - 2005,Grant Hill,1,4,ORL
17,0,0.0,1,1,1,1,6,0.462,13,2,1.0,2,23:28,2,2,14,2,2004 - 2005,Dwyane Wade,1,3,MIA
18,0,,0,2,1,4,6,0.6,10,3,0.75,4,19:30,1,1,15,1,2004 - 2005,Jermaine O'Neal,1,5,IND
19,0,,0,1,2,4,5,0.625,8,2,1.0,2,16:38,3,2,12,0,2004 - 2005,Zydrunas Ilgauskas,1,7,CLE
20,0,0.0,2,3,0,3,4,0.5710000000000001,7,1,1.0,1,14:39,0,2,9,2,2004 - 2005,Paul Pierce,0,3,BOS
21,1,0.33299999999999996,3,3,0,1,3,0.273,11,0,,0,14:20,1,1,7,0,2004 - 2005,Gilbert Arenas,0,2,WAS
22,0,,0,0,0,3,3,0.429,7,0,,0,14:00,4,2,6,0,2004 - 2005,Ben Wallace,2,7,DET
23,1,1.0,1,1,0,3,2,0.4,5,0,,0,12:56,1,0,5,0,2004 - 2005,Antawn Jamison,0,4,WAS
0,0,,0,6,0,4,1,0.5,2,0,,0,27:34,1,2,2,1,2005 - 2006,Steve Nash,2,5,PHO
1,4,0.4,10,2,0,0,15,0.5770000000000001,26,2,0.28600000000000003,7,26:40,0,1,36,1,2005 - 2006,Tracy McGrady,1,0,HOU
2,0,0.0,5,8,0,7,4,0.364,11,0,,0,26:15,0,5,8,3,2005 - 2006,Kobe Bryant,3,7,LAL
3,0,,0,1,1,4,6,0.857,7,3,1.0,3,20:55,6,2,15,1,2005 - 2006,Tim Duncan,5,10,SAS
4,0,,0,1,0,2,2,0.4,5,1,0.5,2,19:14,0,2,5,1,2005 - 2006,Yao Ming,0,2,HOU
5,0,0.0,1,4,0,0,3,0.375,8,2,1.0,2,20:26,0,1,8,0,2005 - 2006,Tony Parker,5,0,SAS
6,0,0.0,7,1,0,2,4,0.308,13,0,,0,18:00,0,2,8,0,2005 - 2006,Ray Allen,1,2,SEA
7,0,,0,0,1,4,5,0.556,9,4,0.5710000000000001,7,17:15,4,1,14,1,2005 - 2006,Shawn Marion,0,8,PHO
8,0,,0,0,0,4,6,0.545,11,0,,0,16:41,3,2,12,1,2005 - 2006,Elton Brand,3,7,LAC
9,0,,0,4,0,7,1,0.111,9,0,,0,16:24,2,1,2,1,2005 - 2006,Kevin Garnett,2,9,MIN
10,0,0.0,3,0,0,3,4,0.5,8,2,0.667,3,16:23,3,2,10,0,2005 - 2006,Dirk Nowitzki,0,6,DAL
11,0,,0,1,0,6,0,0.0,3,0,,0,14:13,6,1,0,0,2005 - 2006,Pau Gasol,1,12,MEM
12,0,,0,3,1,1,9,0.818,11,2,1.0,2,30:39,3,1,20,2,2005 - 2006,Dwyane Wade,3,4,MIA
13,4,0.4,10,2,0,4,12,0.5710000000000001,21,1,0.2,5,30:34,2,2,29,2,2005 - 2006,LeBron James,1,6,CLE
14,0,,0,2,0,2,5,0.35700000000000004,14,2,0.5,4,26:14,0,0,12,0,2005 - 2006,Allen Iverson,3,2,PHI
15,0,,0,4,0,6,7,0.778,9,3,0.6,5,22:34,3,5,17,1,2005 - 2006,Shaquille O'Neal,2,9,MIA
16,0,,0,2,0,3,2,0.4,5,1,0.5,2,17:40,1,3,5,1,2005 - 2006,Vince Carter,2,4,NJN
17,0,,0,2,2,8,0,0.0,1,0,0.0,2,24:18,0,3,0,3,2005 - 2006,Ben Wallace,0,8,DET
18,0,0.0,4,0,0,2,1,0.16699999999999998,6,0,,0,17:19,0,1,2,1,2005 - 2006,Rasheed Wallace,0,2,DET
19,0,,0,2,0,6,3,0.429,7,2,0.667,3,16:35,2,1,8,0,2005 - 2006,Chris Bosh,1,8,TOR
20,2,0.4,5,7,0,4,6,0.6,10,1,1.0,1,15:48,0,1,15,0,2005 - 2006,Chauncey Billups,2,4,DET
21,0,,0,1,0,2,3,0.5,6,1,0.5,2,15:00,0,0,7,1,2005 - 2006,Paul Pierce,0,2,BOS
22,0,,0,1,0,0,3,0.429,7,0,,0,13:28,0,1,6,0,2005 - 2006,Richard Hamilton,1,0,DET
23,0,0.0,2,1,0,0,0,0.0,4,1,0.5,2,9:51,0,1,1,1,2005 - 2006,Gilbert Arenas,1,0,WAS
